Accel_x,Accel_y,Accel_z
-0.081,-0.359,1.403
-0.112,-0.39,1.285
-0.075,-0.148,1.254
0.011,-0.353,1.168
-0.027,-0.268,1.134
-0.057,-0.248,1.042
-0.064,-0.262,0.948
-0.081,-0.252,0.919
-0.018,-0.234,0.93
-0.066,-0.229,0.9
-0.061,-0.221,0.866
-0.045,-0.197,0.847
-0.01,-0.184,0.847
0.033,-0.163,0.942
-0.041,-0.177,0.689
-0.073,-0.154,0.781
-0.019,-0.126,0.9
-0.007,-0.1,0.873
0.038,-0.097,0.875
0.06,-0.098,0.862
0.034,-0.085,0.837
0.044,-0.052,0.835
-0.01,-0.027,0.774
-0.098,-0.007,0.786
0.023,0.026,0.834
0.061,0.015,0.822
0.161,0.011,0.827
0.166,0.019,0.769
0.108,0.036,0.747
0.129,0.072,0.757
0.175,0.08,0.746
0.146,0.093,0.72
0.209,0.105,0.742
0.212,0.122,0.756
0.179,0.126,0.768
0.245,0.159,0.785
0.256,0.154,0.785
0.217,0.163,0.779
0.246,0.189,0.824
0.229,0.188,0.836
0.261,0.214,0.85
0.25,0.207,0.86
0.233,0.216,0.869
0.244,0.252,0.904
0.282,0.233,0.956
0.261,0.226,0.944
0.254,0.252,0.964
0.242,0.222,1.013
0.225,0.227,1.025
0.183,0.239,1.018
0.175,0.23,1.022
0.172,0.215,1.041
0.168,0.179,1.057
0.163,0.151,1.101
0.147,0.142,1.158
0.139,0.131,1.187
0.131,0.132,1.241
0.118,0.14,1.298
0.105,0.135,1.315
0.095,0.129,1.345
0.094,0.147,1.328
0.099,0.15,1.294
0.101,0.178,1.338
0.121,0.198,1.386
0.11,0.208,1.434
0.101,0.219,1.454
0.105,0.235,1.457
0.121,0.247,1.464
0.152,0.255,1.475
0.162,0.264,1.496
0.17,0.265,1.498
0.176,0.264,1.533
0.185,0.257,1.552
0.178,0.249,1.563
0.176,0.243,1.579
0.149,0.23,1.58
0.138,0.218,1.574
0.134,0.212,1.577
0.138,0.189,1.557
0.105,0.181,1.476
0.07,0.204,1.463
0.078,0.22,1.43
0.101,0.223,1.394
0.133,0.232,1.368
0.155,0.229,1.317
0.22,0.189,1.296
0.241,0.274,1.328
0.182,0.316,1.257
0.178,0.314,1.183
0.196,0.299,1.082
0.237,0.284,1.045
0.252,0.308,0.954
0.255,0.328,0.846
0.252,0.352,0.799
0.269,0.362,0.731
